total_orders,avg_order_value,days_since_last_purchase,cart_abandon_count,product_category,return_rate,discount_usage_rate,acquisition_channel,tenure_days,churn
7,24.849458672949336,7.02392010459939,1,Home & Garden,0.18115371467149732,0.65114619701698,Social Media,1610,0
8,21.191171570832093,147.52327714653438,1,Home & Garden,0.40233205273375905,0.40599626705419906,Social Media,1692,0
7,47.54779906867341,19.405958015447318,0,Electronics,0.12303549796154305,0.403773376517743,Paid Search,634,0
8,43.80053900458134,51.42463999728949,6,Beauty,0.12635511524428428,0.28063491228158727,Social Media,911,0
8,21.878061646403417,7.476235965657096,0,Home & Garden,0.022809053727529567,0.3356161311290145,Social Media,1793,0
7,43.497270881467294,18.841000624735663,2,Sports,0.2971886292156575,0.46418499107417044,Email,325,0
12,10.0,31.046351062245204,2,Beauty,0.4240684480668922,0.2441964540188144,Social Media,544,0
5,64.60022710417735,40.05448287213868,2,Beauty,0.08566243990299761,0.48304436027967995,Email,782,0
9,67.79992168661356,0.004049995478585353,1,Sports,0.04851898808612939,0.20443404229340983,Email,185,0
7,22.08492073724522,131.70771820675287,2,Home & Garden,0.18030707154929243,0.4359904841657243,Paid Search,497,1
7,18.835558768888852,0.4622647482904658,1,Electronics,0.09823334532290214,0.1483646102799066,Email,994,0
13,31.626051385221363,89.1495308331218,2,Home & Garden,0.304894775690087,0.2912304949819158,Referral,417,1
3,15.989665301765866,38.158269412891755,2,Home & Garden,0.13270841927913013,0.34938895493030264,Organic,1252,0
9,18.106591196543842,44.525124478985425,3,Books,0.30080454362670783,0.37104070954254764,Email,635,0
13,42.36329144927978,14.011748672409606,1,Sports,0.05766353403769156,0.33738501300599094,Referral,164,0
6,63.259731708232096,56.09300309196717,2,Fashion,0.34367738249327645,0.47254626823409646,Referral,1395,0
8,42.70419906938727,46.231754046922966,1,Fashion,0.2995498401558855,0.1409171956047236,Social Media,1035,0
9,333.30670595024617,10.764569335603742,2,Fashion,0.4596590639188892,0.3885107291130438,Referral,1505,0
7,89.91546789694203,16.317894314453238,3,Home & Garden,0.33669122662100154,0.5839352565368161,Social Media,657,0
12,59.63844664078831,4.154807516979383,3,Fashion,0.4022876817632828,0.15940254484134975,Referral,36,1
7,57.93668074615036,4.114949833584085,0,Books,0.1412797400194412,0.2189138506577549,Paid Search,86,0
9,35.49554191240854,0.8322931569749027,5,Home & Garden,0.40613781551685396,0.0698055024054063,Paid Search,1451,0
10,49.58670494949868,14.944179231949743,4,Electronics,0.21201392761651985,0.4755925674774676,Paid Search,750,0
12,38.78665739080185,68.30257072764661,0,Electronics,0.06841668064297045,0.5200979572373994,Paid Search,1781,0
6,76.75901480783183,22.806738353662546,2,Home & Garden,0.3175643152800085,0.2657474319787496,Paid Search,1515,0
10,26.487911245885314,25.180012944141822,3,Beauty,0.07414612562771158,0.31957000511478234,Referral,30,0
9,25.37937190874212,8.487274578951311,1,Sports,0.2327855794218584,0.412620421374156,Email,1587,0
10,84.98328518110684,51.40645062278895,5,Sports,0.43956787604570735,0.17324723404711206,Email,389,1
9,22.91994284859624,25.126120302647205,3,Electronics,0.08115872149614325,0.3021746204512529,Email,887,0
13,15.549944074906774,67.67940179409308,1,Fashion,0.0715770073203896,0.2476123214815752,Paid Search,924,0
16,18.20136195329799,81.16216822071985,1,Books,0.21786350776144564,0.14389097750724816,Paid Search,109,0
10,60.27356556684033,52.72421836908545,2,Home & Garden,0.06295187970662064,0.46888763215513135,Referral,230,0
6,280.76238280125847,19.383596191773595,4,Books,0.15520811804553802,0.5582525641502406,Email,772,0
8,16.27853234514197,42.630761441291924,2,Books,0.05655589605382384,0.3743780769946544,Social Media,1173,0
10,55.485343961747795,17.41558789061751,1,Beauty,0.0225585924983385,0.3164654506897493,Paid Search,483,0
7,37.45053307508301,139.92876596300255,2,Books,0.1532435734960184,0.5021661239891766,Organic,961,0
10,81.65893106097192,87.2450417117794,3,Home & Garden,0.1506405863539464,0.267191243645344,Organic,692,0
6,55.09745150072991,40.75535546309816,1,Fashion,0.15535591744171687,0.17263983654955734,Organic,1150,0
3,85.81135135610712,201.93326994898018,2,Beauty,0.1980380984668185,0.5815066475220851,Referral,775,1
9,41.833964513301915,47.47940678846414,5,Home & Garden,0.13046278268415742,0.3481233957609269,Social Media,1554,0
9,16.98245599459344,23.897645808902624,0,Beauty,0.19255653527848063,0.5207715664609351,Paid Search,1795,0
7,19.220706960787997,6.020209386458887,2,Electronics,0.2823436509385036,0.5770628767014302,Referral,1666,0
10,39.2355991809375,47.082289710993535,0,Fashion,0.08228436512205364,0.2030583240627309,Email,308,0
4,48.11847472126833,118.1455853921965,0,Electronics,0.1387465576862901,0.2805438214990919,Email,834,0
6,24.352416000110463,120.91761347792658,0,Books,0.21536618222118284,0.6923357414488717,Paid Search,837,0
14,166.0099391009041,55.666444834372896,2,Fashion,0.0829212484878725,0.14743004617392394,Paid Search,1534,0
13,70.31446547088294,29.99693572666313,1,Books,0.16898656385845492,0.24072992644621674,Organic,652,0
11,10.0,63.040144656421504,3,Electronics,0.07649783562277594,0.060794520653546555,Social Media,1003,0
8,30.01442691501362,86.16447025829088,2,Beauty,0.29320470610165233,0.37383625402062187,Organic,1112,0
7,14.530153292949276,31.823424769076553,2,Home & Garden,0.08077590364960321,0.5615785961091935,Social Media,204,0
6,152.17422672800822,38.80492608554198,2,Beauty,0.1307879554782128,0.43424033820272234,Referral,1018,0
10,10.0,68.48172604747505,5,Beauty,0.09465969312727497,0.16773338700276771,Referral,451,0
7,46.2931282228351,125.56503383626065,4,Fashion,0.23469874005882058,0.4069536798562441,Social Media,377,1
5,36.54920803978405,93.92824106600213,4,Books,0.15202361652038868,0.4060074373708013,Referral,457,1
9,63.50544777504486,1.3587517300286835,1,Sports,0.05973779102965306,0.33366671633801953,Social Media,182,0
10,42.87156756554795,7.968859703250079,0,Books,0.4086060997402532,0.24979444907396559,Referral,128,1
11,173.3754978660767,114.94889111499816,2,Electronics,0.27276466273183114,0.30586895728742336,Email,1180,0
9,69.0164149053123,107.68204553116568,7,Electronics,0.18537111112817564,0.43848499656635437,Paid Search,1717,0
14,10.0,29.540528356501895,1,Beauty,0.06424807647690278,0.5184716564967474,Referral,1255,0
7,101.83694230916697,52.66429947468215,1,Beauty,0.14372164685674438,0.5794180794211321,Referral,569,0
16,38.959500758467826,141.76876391537894,2,Home & Garden,0.2512113188639704,0.12558153429056584,Email,612,1
9,101.97530845649774,145.5249605470986,1,Fashion,0.1824510742532353,0.41725291517724433,Organic,988,0
11,25.69603069205013,91.6971526589657,1,Sports,0.03429844348492246,0.8732884008100233,Email,1581,0
6,14.155967331626815,14.112128259367395,0,Electronics,0.33795053197243025,0.4792550191625909,Referral,370,0
13,12.16908082123318,78.62287821426146,1,Fashion,0.3138728074176505,0.28818947512624,Email,855,0
10,77.41006683569823,6.394904486171029,0,Sports,0.11818700152966087,0.487603171992696,Email,911,0
5,62.66121518985955,134.62414692918043,2,Home & Garden,0.27734908200285635,0.23968847972180282,Email,1699,0
8,20.623721655198334,9.691081381042489,6,Fashion,0.06418642133203238,0.5836614414103074,Social Media,978,0
5,10.0,65.14448372759975,1,Books,0.17690996305651066,0.328494704725889,Email,1425,0
8,79.81726604378392,56.533950877466566,7,Beauty,0.18442211861255714,0.30946335175109607,Email,161,1
8,10.0,90.00801810573829,1,Beauty,0.05421699761077838,0.41334330065183694,Referral,597,0
8,188.505827465858,48.121164953420646,2,Sports,0.12754314026771357,0.5297201915984634,Social Media,1116,0
9,10.419391136486702,3.6848651976966815,1,Books,0.32279485876112735,0.40640931128046887,Organic,1237,0
5,33.49048796152983,73.41916217422201,4,Beauty,0.2043510805364062,0.6090291114201848,Social Media,1615,0
9,39.80583024795112,28.988207220038102,3,Books,0.10513539137587848,0.21925116953218848,Social Media,1077,0
9,44.339723875954185,23.164901286417194,2,Beauty,0.25810816566182093,0.6500321273350457,Social Media,529,0
7,42.923819281461896,287.2990816865961,1,Sports,0.06678098440661695,0.16555991164599126,Referral,984,1
7,36.75784406852492,53.55441803217713,3,Books,0.2672382757084851,0.27597688874689874,Paid Search,1298,0
12,23.40011406142151,74.42141989242181,3,Sports,0.2631318773856969,0.11267082886684911,Referral,1431,0
8,27.69473102091461,44.834174802644576,2,Books,0.26978016795128834,0.6119485091138558,Referral,1723,0
7,19.659192249868415,88.17342278913853,2,Home & Garden,0.2364175976181836,0.2773626674314474,Organic,348,1
7,36.33209077207883,83.67719184845599,3,Home & Garden,0.14553341629374475,0.6579871385308579,Organic,1206,0
13,10.0,64.22705494882271,4,Fashion,0.1481726588067884,0.6229905180576459,Organic,366,0
8,42.62194347997493,365.0,3,Books,0.04572977542641633,0.49432043483281807,Paid Search,580,1
12,30.601910856219636,36.948232092497015,3,Home & Garden,0.137058403973194,0.22101665659833025,Social Media,261,0
12,64.9193631880279,73.48979830006783,4,Home & Garden,0.16021366223056643,0.19197904878765598,Paid Search,1410,0
9,25.973286836896797,95.90333947303859,3,Home & Garden,0.27210021595413264,0.25261268381963564,Social Media,1668,0
8,53.612526705256215,28.299632190601933,2,Electronics,0.10720995238357926,0.28535873109376975,Paid Search,55,0
10,51.50197668637374,36.65810072171845,2,Books,0.30976181199300196,0.5240158620020867,Referral,1484,0
10,29.628830219642772,208.75070242959015,3,Fashion,0.19309965512176952,0.7197951558006673,Referral,441,1
11,43.91719160903784,1.9694324660141245,2,Home & Garden,0.219422253130552,0.13504193173027718,Social Media,889,0
14,11.312032581370735,24.50477577655346,1,Sports,0.48776756675540395,0.15865792643639176,Social Media,1365,0
6,96.85861962016568,39.95678537992838,2,Electronics,0.316907075883982,0.6942960747718399,Social Media,925,0
10,21.403684110885106,0.08796403324487134,1,Books,0.2077151689447594,0.44056331054988274,Email,422,0
9,28.71292745375169,137.63363882589573,0,Beauty,0.02129514428768916,0.6282909891957097,Organic,1653,0
8,14.263903331995522,20.23288034733152,1,Fashion,0.11317937066372416,0.35956697173878277,Email,1083,0
7,17.911279375140655,17.880498871486246,1,Home & Garden,0.09505726049896558,0.16290507292548134,Email,1699,0
6,123.32591413853136,102.99673611096013,2,Sports,0.14905093668494604,0.3177462735770087,Referral,1545,0
10,36.977592625030304,19.542414668289403,5,Electronics,0.21642907700161876,0.06610637926672022,Referral,1599,0
7,26.11663453464975,64.31049742530972,1,Sports,0.06337283578708718,0.301686748885845,Social Media,660,0
5,26.00050078896128,103.39105744882093,2,Sports,0.2077478873557311,0.6874330925570469,Referral,1801,0
8,33.16791703740612,94.35074209417547,1,Electronics,0.10131322901614631,0.3834265387658374,Social Media,1555,0
7,59.02530144451854,91.38205599666958,4,Sports,0.14788445052817437,0.4547316961235101,Email,616,1
4,38.670260022001635,5.568877388970878,0,Home & Garden,0.13039890871436935,0.34062206009148044,Organic,1636,0
11,39.33662080671591,4.992916990601477,1,Electronics,0.11592547308853125,0.15791094288422267,Referral,1378,0
12,15.822953955971377,21.983609764545008,3,Books,0.1917831382777295,0.6495848243540481,Email,1323,0
9,26.179083173349163,2.1965952410219876,1,Electronics,0.4532842368763157,0.6012702454620148,Social Media,12,1
5,37.532843426590716,41.6404213894315,1,Beauty,0.2621837392722204,0.4235757402567497,Referral,42,1
6,32.299357259862894,30.129999886461405,2,Fashion,0.18337981425432182,0.2507173245135606,Organic,1268,0
12,23.743301915233324,48.85464023839175,0,Beauty,0.16990865747783557,0.2560049261700394,Referral,509,0
7,22.065081810706324,21.296746845609356,1,Beauty,0.03149895294684685,0.4041182796359191,Social Media,107,0
10,46.92035455408672,39.90321207674573,3,Home & Garden,0.18561488450509003,0.7484213416702772,Email,522,0
8,47.854144664803975,24.4550700734711,3,Books,0.1046342501044745,0.3476753097030374,Email,1529,0
10,73.07820182122705,13.030292078199164,3,Beauty,0.13698430686035135,0.19656659146351516,Organic,859,0
8,38.73048661958199,62.88085663058852,1,Home & Garden,0.4373879835652758,0.7904314773030553,Organic,1123,0
13,10.0,67.14774176820971,3,Home & Garden,0.3582719317244863,0.16738187699799972,Email,1461,0
12,218.46651485342588,106.04685417516022,0,Electronics,0.21605974039551393,0.35692600003952196,Paid Search,590,0
8,32.88309866146471,124.64746655248754,3,Beauty,0.10295594638379467,0.29653160028621256,Email,21,1
6,23.85471487959734,73.13745187299847,3,Books,0.047057057094251904,0.21493288810817818,Social Media,590,0
8,31.60993414284651,69.78868123538773,1,Electronics,0.1156135081613083,0.3400240375263346,Referral,1745,0
11,24.122011638339274,3.5007069770642834,1,Fashion,0.05658371471457091,0.2752594359607258,Paid Search,880,0
11,17.20219027459097,6.977148222490855,4,Fashion,0.27071676388055443,0.44063178887969306,Email,1040,0
4,54.14375818312779,100.45865669594099,0,Fashion,0.304452033668799,0.21988191586970257,Referral,1388,0
12,29.404948434723572,15.912296127981696,4,Electronics,0.46018798896441776,0.31748208737969746,Organic,210,1
10,30.82877193648981,26.362884510319354,1,Electronics,0.25234239693382066,0.6013386518155294,Email,1339,0
10,10.0,9.420099156758258,3,Fashion,0.07651516497627739,0.290374216436621,Paid Search,544,0
10,27.62743840444295,13.026108013399668,1,Electronics,0.12404787198666728,0.4104321432817315,Social Media,709,0
11,13.995184651782195,89.61065866145428,2,Sports,0.2523698948901455,0.39243067335045684,Referral,492,1
7,21.803071152636083,18.217275300725476,1,Sports,0.31443082209761547,0.20480786097614648,Referral,281,0
11,40.00578526026527,35.76503588924996,1,Sports,0.2715883509541818,0.2670905128863271,Email,660,0
15,20.27099013273273,9.869231189490657,2,Home & Garden,0.2060077930135135,0.23736878931799305,Social Media,173,0
9,22.63656980963496,67.97916449273583,2,Books,0.03371271539878182,0.554132626676889,Social Media,1541,0
12,35.7754443324864,78.17672245944769,1,Beauty,0.24383933366181862,0.4578278135660224,Organic,559,0
8,22.08258487393515,26.936091092439057,1,Books,0.3108629374723371,0.44763751840117016,Email,1193,0
6,14.235652767735,92.15637326906526,4,Books,0.19472019632810578,0.4871907075057357,Referral,542,1
8,10.0,16.45884160956315,1,Fashion,0.08435685126462666,0.37153871241014247,Organic,385,0
10,43.34800265081196,70.64060452046562,2,Sports,0.14818557107153482,0.4762183998429562,Referral,1302,0
9,21.906783210342923,78.55212891977109,2,Beauty,0.027230736099229297,0.28631819751822934,Organic,1139,0
11,10.0,207.76658254585317,0,Sports,0.1471838464420377,0.4317538743554455,Email,398,1
10,89.70531621784836,15.86306810692969,2,Electronics,0.05950158800620259,0.6227972551830564,Organic,1117,0
10,43.3983055535998,5.903787932122622,0,Home & Garden,0.07837652945387903,0.2307872033689335,Organic,10,0
6,12.802488641433145,18.312927045374913,1,Home & Garden,0.11020614655990163,0.2104039130853964,Social Media,323,0
6,18.845818201952774,7.865470109313955,2,Sports,0.07341951267252562,0.21583271005559915,Social Media,1328,0
9,76.48767171119523,11.157680578769869,3,Electronics,0.12608184274662093,0.1963991476009208,Referral,749,0
9,28.77932482132116,24.398253776925724,0,Sports,0.214564728413411,0.49786461735568,Social Media,372,0
4,23.695941272351714,32.06518193718024,1,Fashion,0.28547332644091183,0.2371917217370365,Email,923,0
